`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
12/09/2021,10:13,BROOKLYN,11203,40.638523,-73.92607,"(40.638523, -73.92607)",Traffic Control Disregarded,Traffic Control Disregarded,4485090,Sedan
03/26/2022,14:00,STATEN ISLAND,10301,40.637833,-74.08193,"(40.637833, -74.08193)",Driver Inattention/Distraction,Unspecified,4513697,Sedan
03/26/2022,1:02,MANHATTAN,10025,40.797836,-73.96946,"(40.797836, -73.96946)",Traffic Control Disregarded,Unspecified,4513935,Sedan
03/26/2022,16:02,QUEENS,11373,40.734375,-73.87342,"(40.734375, -73.87342)",Lost Consciousness,Unspecified,4513794,Station Wagon/Sport Utility Vehicle
03/26/2022,16:05,QUEENS,11411,40.699947,-73.736626,"(40.699947, -73.736626)",Following Too Closely,Unspecified,4514267,Station Wagon/Sport Utility Vehicle
03/21/2022,12:05,MANHATTAN,10018,40.75632,-73.999275,"(40.75632, -73.999275)",Following Too Closely,Unspecified,4514237,Motorcycle
03/26/2022,5:13,QUEENS,11418,40.69614,-73.81789,"(40.69614, -73.81789)",Failure to Yield Right-of-Way,Unspecified,4513470,Station Wagon/Sport Utility Vehicle
03/26/2022,17:42,BROOKLYN,11234,40.631687,-73.9205,"(40.631687, -73.9205)",Driver Inattention/Distraction,Unspecified,4513751,Sedan
03/26/2022,12:18,BRONX,10466,40.88839,-73.84666,"(40.88839, -73.84666)",Failure to Yield Right-of-Way,Unspecified,4514075,Station Wagon/Sport Utility Vehicle
03/26/2022,20:10,BRONX,10462,40.844425,-73.8639,"(40.844425, -73.8639)",Unspecified,,4513857,Station Wagon/Sport Utility Vehicle
03/26/2022,15:45,BRONX,10472,40.833965,-73.8629,"(40.833965, -73.8629)",Alcohol Involvement,Unspecified,4514202,Station Wagon/Sport Utility Vehicle
03/26/2022,17:55,BROOKLYN,11206,40.705738,-73.944695,"(40.705738, -73.944695)",Driver Inattention/Distraction,Unspecified,4514347,Sedan
03/26/2022,0:50,BROOKLYN,11236,40.637905,-73.8878,"(40.637905, -73.8878)",Unsafe Speed,Unspecified,4513495,Sedan
03/26/2022,14:05,BROOKLYN,11210,40.635063,-73.94788,"(40.635063, -73.94788)",Unsafe Speed,Unspecified,4513874,Station Wagon/Sport Utility Vehicle
03/26/2022,9:30,,,40.804153,-73.91304,"(40.804153, -73.91304)",Unspecified,,4514263,Sedan
3/10/2022,8:30,BROOKLYN,11238,40.676403,-73.96287,"(40.676403, -73.96287)",Other Vehicular,Following Too Closely,4514323,Station Wagon/Sport Utility Vehicle
03/24/2022,23:00,BRONX,10472,40.829777,-73.85055,"(40.829777, -73.85055)",Unspecified,,4514182,Sedan
03/26/2022,7:36,BROOKLYN,11209,40.613926,-74.030174,"(40.613926, -74.030174)",Brakes Defective,Unspecified,4513515,Station Wagon/Sport Utility Vehicle
03/26/2022,11:50,BROOKLYN,11236,40.635563,-73.89577,"(40.635563, -73.89577)",Failure to Yield Right-of-Way,,4513663,Station Wagon/Sport Utility Vehicle
